SUPPLIER_NAME,SUPPLIER_TYPE,Address,COUNTRY,CITY,EMAIL_PATTERN,PHONE,WEBSITE,CONTACT PERSON,CONTACT_POSITION,SPECIALTIES,CATEGORY,PRODUCT,ORIGIN,Technical Specification,SUPPLIER_CAPACITY,CERTIFICATIONS,LOADING_PORT,DISCHARGE PORT,INCOTERMS,PAYMENT_TERMS,NOTES AFTER EXCHANGES,TARGET_PRICE_HINT,MOQ,PACKAGING,PRIORITY
5 Pillars Global Exporters Limited,Supplier,"No. 21, Vatterm Street, Off Amazon Street, Maitama, FCT Abuja, Nigeria",Abuja,Nigeria,amanda@5pillarsglobalexporters.ltd /5pillarsglobalexporters@gmail.com, +234 806 594 6626 / +234 818 485 5700,https://www.5pillarsglobalexporters.ltd/,Amanda,,"Specializes in international trade, directly connecting local agricultural producers and raw material suppliers with international buyers, with guaranteed inspection and loading at the port of Lagos.",Spice / Root,Ginger Ginger Powder,Nigeria,For dried ginger: moisture ≤10%; oil content 2.0–2.5% min; extraneous matter ≤1%; gingerol/pungency high grade; purity ≥98%.,800 MT/mois,SGS / Bureau Veritas; NEPC exporter license RE 0044122; CAC RC 9571925; ICC Nigeria member,Lagos Port,,FOB / CFR / CIF ,50–70% advance depending on the product,,,20 MT,"40 kg / 50 kg mesh, jute or PP bags",
5 Pillars Global Exporters Limited,Supplier,"No. 21, Vatterm Street, Off Amazon Street, Maitama, FCT Abuja, Nigeria",Abuja,Nigeria,amanda@5pillarsglobalexporters.ltd /5pillarsglobalexporters@gmail.com, +234 806 594 6626 / +234 818 485 5700,https://www.5pillarsglobalexporters.ltd/,Amanda,,"Specializes in international trade, directly connecting local agricultural producers and raw material suppliers with international buyers, with guaranteed inspection and loading at the port of Lagos.",Root / Starch,Cassava Chips & Industrial Flour High-Starch Dried Cassava Chips,Nigeria,Starch ≥70%; moisture ≤12%; fiber ≤3.5%; cyanide ≤10 mg/kg; clean white / light cream color.,1 200 MT/mois,SGS / Bureau Veritas; NEPC exporter license RE 0044122; CAC RC 9571925; ICC Nigeria member,Lagos Port,,FOB / CFR / CIF ,50–70% advance depending on the product,,,20 MT,50 kg woven PP bags / bulk bags,
5 Pillars Global Exporters Limited,Supplier,"No. 21, Vatterm Street, Off Amazon Street, Maitama, FCT Abuja, Nigeria",Abuja,Nigeria,amanda@5pillarsglobalexporters.ltd /5pillarsglobalexporters@gmail.com, +234 806 594 6626 / +234 818 485 5700,https://www.5pillarsglobalexporters.ltd/,Amanda,,"Specializes in international trade, directly connecting local agricultural producers and raw material suppliers with international buyers, with guaranteed inspection and loading at the port of Lagos.",Root / Starch,Cassava Chips & Industrial Flour High Quality Cassava Flour (HQCF),Nigeria,Starch ≥70%; moisture ≤12%; fiber ≤3.5%; cyanide ≤10 mg/kg; clean white / light cream color.,1 200 MT/mois,SGS / Bureau Veritas; NEPC exporter license RE 0044122; CAC RC 9571925; ICC Nigeria member,Lagos Port,,FOB / CFR / CIF ,50–70% advance depending on the product,,,20 MT,50 kg woven PP bags / bulk bags,
5 Pillars Global Exporters Limited,Supplier,"No. 21, Vatterm Street, Off Amazon Street, Maitama, FCT Abuja, Nigeria",Abuja,Nigeria,amanda@5pillarsglobalexporters.ltd /5pillarsglobalexporters@gmail.com, +234 806 594 6626 / +234 818 485 5700,https://www.5pillarsglobalexporters.ltd/,Amanda,,"Specializes in international trade, directly connecting local agricultural producers and raw material suppliers with international buyers, with guaranteed inspection and loading at the port of Lagos.",Oilseeds / Legume,Non-GMO Soybeans Golden Non-GMO Soybeans,Nigeria,Protein ≥38%; moisture ≤11%; oil content 18–20%; broken/damaged kernels ≤2%; foreign matter ≤1%; 100% verified Non-GMO status.,1 500 MT/mois,SGS / Bureau Veritas; NEPC exporter license RE 0044122; CAC RC 9571925; ICC Nigeria member,Lagos Port,,FOB / CFR / CIF ,50–70% advance depending on the product,,,20 MT,50 kg PP bags / bulk container bags,
5 Pillars Global Exporters Limited,Supplier,"No. 21, Vatterm Street, Off Amazon Street, Maitama, FCT Abuja, Nigeria",Abuja,Nigeria,amanda@5pillarsglobalexporters.ltd /5pillarsglobalexporters@gmail.com, +234 806 594 6626 / +234 818 485 5700,https://www.5pillarsglobalexporters.ltd/,Amanda,,"Specializes in international trade, directly connecting local agricultural producers and raw material suppliers with international buyers, with guaranteed inspection and loading at the port of Lagos.",Bean / Cocoa,Cocoa Beans Fully Fermented Cocoa Beans,Nigeria,95–105 beans/100 g; moisture ≤7.5%; moldy beans ≤3%; slaty ≤3%; insect damage ≤2%; fermentation ≥80%.,600 MT/mois,SGS / Bureau Veritas; NEPC exporter license RE 0044122; CAC RC 9571925; ICC Nigeria member,Lagos Port,,FOB / CFR / CIF ,50–70% advance depending on the product,,,20 MT,Natural jute bags 65 / 70 kg,
5 Pillars Global Exporters Limited,Supplier,"No. 21, Vatterm Street, Off Amazon Street, Maitama, FCT Abuja, Nigeria",Abuja,Nigeria,amanda@5pillarsglobalexporters.ltd /5pillarsglobalexporters@gmail.com, +234 806 594 6626 / +234 818 485 5700,https://www.5pillarsglobalexporters.ltd/,Amanda,,"Specializes in international trade, directly connecting local agricultural producers and raw material suppliers with international buyers, with guaranteed inspection and loading at the port of Lagos.",Vegetable Butter / Nut,Shea Nuts & Unrefined Shea Butter Raw Unrefined Grade A Ivory – Shea Butter,Nigeria,FFA ≤2.5%; moisture ≤0.05% butter / ≤8% nuts; nut oil 45–50%; ivory/cream color; purity 100% unrefined organic.,400 MT/mois,SGS / Bureau Veritas; NEPC exporter license RE 0044122; CAC RC 9571925; ICC Nigeria member,Lagos Port,,FOB / CFR / CIF ,50–70% advance depending on the product,,,20 MT,Butter: 25 kg cartons / plastic tubs; nuts: 50 kg PP bags,
5 Pillars Global Exporters Limited,Supplier,"No. 21, Vatterm Street, Off Amazon Street, Maitama, FCT Abuja, Nigeria",Abuja,Nigeria,amanda@5pillarsglobalexporters.ltd /5pillarsglobalexporters@gmail.com, +234 806 594 6626 / +234 818 485 5700,https://www.5pillarsglobalexporters.ltd/,Amanda,,"Specializes in international trade, directly connecting local agricultural producers and raw material suppliers with international buyers, with guaranteed inspection and loading at the port of Lagos.",Vegetable Butter / Nut,Shea Nuts & Unrefined Shea Butter Export Certified Dry Shea Nuts,Nigeria,FFA ≤2.5%; moisture ≤0.05% butter / ≤8% nuts; nut oil 45–50%; ivory/cream color; purity 100% unrefined organic.,400 MT/mois,SGS / Bureau Veritas; NEPC exporter license RE 0044122; CAC RC 9571925; ICC Nigeria member,Lagos Port,,FOB / CFR / CIF ,50–70% advance depending on the product,,,20 MT,Butter: 25 kg cartons / plastic tubs; nuts: 50 kg PP bags,
5 Pillars Global Exporters Limited,Supplier,"No. 21, Vatterm Street, Off Amazon Street, Maitama, FCT Abuja, Nigeria",Abuja,Nigeria,amanda@5pillarsglobalexporters.ltd /5pillarsglobalexporters@gmail.com, +234 806 594 6626 / +234 818 485 5700,https://www.5pillarsglobalexporters.ltd/,Amanda,,"Specializes in international trade, directly connecting local agricultural producers and raw material suppliers with international buyers, with guaranteed inspection and loading at the port of Lagos.",Coffee,Coffee Beans Robusta,Nigeria,Moisture 11–12.5%; grade 1 export; screen size 15–18; foreign matter ≤0.5%.,300 MT/mois,SGS / Bureau Veritas; NEPC exporter license RE 0044122; CAC RC 9571925; ICC Nigeria member,Lagos Port,,FOB / CFR / CIF ,50–70% advance depending on the product,,,20 MT,Traditional jute bags 60 kg,
5 Pillars Global Exporters Limited,Supplier,"No. 21, Vatterm Street, Off Amazon Street, Maitama, FCT Abuja, Nigeria",Abuja,Nigeria,amanda@5pillarsglobalexporters.ltd /5pillarsglobalexporters@gmail.com, +234 806 594 6626 / +234 818 485 5700,https://www.5pillarsglobalexporters.ltd/,Amanda,,"Specializes in international trade, directly connecting local agricultural producers and raw material suppliers with international buyers, with guaranteed inspection and loading at the port of Lagos.",Coffee,Coffee Beans Arabica,Nigeria,Moisture 11–12.5%; grade 1 export; screen size 15–18; foreign matter ≤0.5%.,300 MT/mois,SGS / Bureau Veritas; NEPC exporter license RE 0044122; CAC RC 9571925; ICC Nigeria member,Lagos Port,,FOB / CFR / CIF ,50–70% advance depending on the product,,,20 MT,Traditional jute bags 60 kg,
5 Pillars Global Exporters Limited,Supplier,"No. 21, Vatterm Street, Off Amazon Street, Maitama, FCT Abuja, Nigeria",Abuja,Nigeria,amanda@5pillarsglobalexporters.ltd /5pillarsglobalexporters@gmail.com, +234 806 594 6626 / +234 818 485 5700,https://www.5pillarsglobalexporters.ltd/,Amanda,,"Specializes in international trade, directly connecting local agricultural producers and raw material suppliers with international buyers, with guaranteed inspection and loading at the port of Lagos.",Cereal,Yellow Maize,Nigeria,Moisture ≤13%; aflatoxins ≤10 ppb (EU & US compliant depending on site); foreign matter ≤1%; broken grains ≤2%; bright yellow / clean white color.,2 000 MT/mois,SGS / Bureau Veritas; NEPC exporter license RE 0044122; CAC RC 9571925; ICC Nigeria member,Lagos Port,,FOB / CFR / CIF ,50–70% advance depending on the product,,,20 MT,50 kg woven PP bags,
5 Pillars Global Exporters Limited,Supplier,"No. 21, Vatterm Street, Off Amazon Street, Maitama, FCT Abuja, Nigeria",Abuja,Nigeria,amanda@5pillarsglobalexporters.ltd /5pillarsglobalexporters@gmail.com, +234 806 594 6626 / +234 818 485 5700,https://www.5pillarsglobalexporters.ltd/,Amanda,,"Specializes in international trade, directly connecting local agricultural producers and raw material suppliers with international buyers, with guaranteed inspection and loading at the port of Lagos.",Cereal,White Maize,Nigeria,Moisture ≤13%; aflatoxins ≤10 ppb (EU & US compliant depending on site); foreign matter ≤1%; broken grains ≤2%; bright yellow / clean white color.,2 000 MT/mois,SGS / Bureau Veritas; NEPC exporter license RE 0044122; CAC RC 9571925; ICC Nigeria member,Lagos Port,,FOB / CFR / CIF ,50–70% advance depending on the product,,,20 MT,50 kg woven PP bags,
5 Pillars Global Exporters Limited,Supplier,"No. 21, Vatterm Street, Off Amazon Street, Maitama, FCT Abuja, Nigeria",Abuja,Nigeria,amanda@5pillarsglobalexporters.ltd /5pillarsglobalexporters@gmail.com, +234 806 594 6626 / +234 818 485 5700,https://www.5pillarsglobalexporters.ltd/,Amanda,,"Specializes in international trade, directly connecting local agricultural producers and raw material suppliers with international buyers, with guaranteed inspection and loading at the port of Lagos.",Cereal,Pearl Millet,Nigeria,Purity ≥99%; moisture ≤11%; admixture ≤1%; broken grains ≤1.5%.,1 000 MT/mois,SGS / Bureau Veritas; NEPC exporter license RE 0044122; CAC RC 9571925; ICC Nigeria member,Lagos Port,,FOB / CFR / CIF ,50–70% advance depending on the product,,,20 MT,50 kg woven PP bags,
5 Pillars Global Exporters Limited,Supplier,"No. 21, Vatterm Street, Off Amazon Street, Maitama, FCT Abuja, Nigeria",Abuja,Nigeria,amanda@5pillarsglobalexporters.ltd /5pillarsglobalexporters@gmail.com, +234 806 594 6626 / +234 818 485 5700,https://www.5pillarsglobalexporters.ltd/,Amanda,,"Specializes in international trade, directly connecting local agricultural producers and raw material suppliers with international buyers, with guaranteed inspection and loading at the port of Lagos.",Cereal,Finger Millet,Nigeria,Purity ≥99%; moisture ≤11%; admixture ≤1%; broken grains ≤1.5%.,1 000 MT/mois,SGS / Bureau Veritas; NEPC exporter license RE 0044122; CAC RC 9571925; ICC Nigeria member,Lagos Port,,FOB / CFR / CIF ,50–70% advance depending on the product,,,20 MT,50 kg woven PP bags,
5 Pillars Global Exporters Limited,Supplier,"No. 21, Vatterm Street, Off Amazon Street, Maitama, FCT Abuja, Nigeria",Abuja,Nigeria,amanda@5pillarsglobalexporters.ltd /5pillarsglobalexporters@gmail.com, +234 806 594 6626 / +234 818 485 5700,https://www.5pillarsglobalexporters.ltd/,Amanda,,"Specializes in international trade, directly connecting local agricultural producers and raw material suppliers with international buyers, with guaranteed inspection and loading at the port of Lagos.",Spice / Root,Dried Whole Turmeric Roots (Curcuma Longa) Whole Dried Turmeric Fingers,Nigeria,"Curcumin ≥5%; moisture ≤10%; purity ≥99%; foreign matter ≤1%; deep golden orange color; sun-dried, insect-free, Non-GMO.",500 MT/mois,SGS / Bureau Veritas; NEPC exporter license RE 0044122; CAC RC 9571925; ICC Nigeria member,Lagos Port,,FOB / CFR / CIF ,50–70% advance depending on the product,,,20 MT (20ft FCL),25 / 50 kg woven PP or jute bags,
5 Pillars Global Exporters Limited,Supplier,"No. 21, Vatterm Street, Off Amazon Street, Maitama, FCT Abuja, Nigeria",Abuja,Nigeria,amanda@5pillarsglobalexporters.ltd /5pillarsglobalexporters@gmail.com, +234 806 594 6626 / +234 818 485 5700,https://www.5pillarsglobalexporters.ltd/,Amanda,,"Specializes in international trade, directly connecting local agricultural producers and raw material suppliers with international buyers, with guaranteed inspection and loading at the port of Lagos.",Spice / Root,Dried Whole Turmeric Roots (Curcuma Longa) Split Turmeric Roots,Nigeria,"Curcumin ≥5%; moisture ≤10%; purity ≥99%; foreign matter ≤1%; deep golden orange color; sun-dried, insect-free, Non-GMO.",500 MT/mois,SGS / Bureau Veritas; NEPC exporter license RE 0044122; CAC RC 9571925; ICC Nigeria member,Lagos Port,,FOB / CFR / CIF ,50–70% advance depending on the product,,,20 MT (20ft FCL),25 / 50 kg woven PP or jute bags,
5 Pillars Global Exporters Limited,Supplier,"No. 21, Vatterm Street, Off Amazon Street, Maitama, FCT Abuja, Nigeria",Abuja,Nigeria,amanda@5pillarsglobalexporters.ltd /5pillarsglobalexporters@gmail.com, +234 806 594 6626 / +234 818 485 5700,https://www.5pillarsglobalexporters.ltd/,Amanda,,"Specializes in international trade, directly connecting local agricultural producers and raw material suppliers with international buyers, with guaranteed inspection and loading at the port of Lagos.",Spice / Root,Dried Whole Turmeric Roots (Curcuma Longa) Turmeric Powder,Nigeria,"Curcumin ≥5%; moisture ≤10%; purity ≥99%; foreign matter ≤1%; deep golden orange color; sun-dried, insect-free, Non-GMO.",500 MT/mois,SGS / Bureau Veritas; NEPC exporter license RE 0044122; CAC RC 9571925; ICC Nigeria member,Lagos Port,,FOB / CFR / CIF ,50–70% advance depending on the product,,,20 MT (20ft FCL),25 / 50 kg woven PP or jute bags,
5 Pillars Global Exporters Limited,Supplier,"No. 21, Vatterm Street, Off Amazon Street, Maitama, FCT Abuja, Nigeria",Abuja,Nigeria,amanda@5pillarsglobalexporters.ltd /5pillarsglobalexporters@gmail.com, +234 806 594 6626 / +234 818 485 5700,https://www.5pillarsglobalexporters.ltd/,Amanda,,"Specializes in international trade, directly connecting local agricultural producers and raw material suppliers with international buyers, with guaranteed inspection and loading at the port of Lagos.",Spice,Dried Whole Cloves (Syzygium Aromaticum) Hand Picked Selected (HPS) Grade A,Nigeria,"Eugenol ≥15%; moisture ≤11%; headless cloves ≤3%; foreign matter/stems ≤1%; dark red brown color; hand-picked, insect-free.",300 MT/mois,SGS / Bureau Veritas; NEPC exporter license RE 0044122; CAC RC 9571925; ICC Nigeria member,Lagos Port,,FOB / CFR / CIF ,50–70% advance depending on the product,,,20 MT (20ft FCL),25 / 50 kg woven PP or jute bags,
5 Pillars Global Exporters Limited,Supplier,"No. 21, Vatterm Street, Off Amazon Street, Maitama, FCT Abuja, Nigeria",Abuja,Nigeria,amanda@5pillarsglobalexporters.ltd /5pillarsglobalexporters@gmail.com, +234 806 594 6626 / +234 818 485 5700,https://www.5pillarsglobalexporters.ltd/,Amanda,,"Specializes in international trade, directly connecting local agricultural producers and raw material suppliers with international buyers, with guaranteed inspection and loading at the port of Lagos.",Spice,Dried Whole Cloves (Syzygium Aromaticum) Standard Whole Export Grade,Nigeria,"Eugenol ≥15%; moisture ≤11%; headless cloves ≤3%; foreign matter/stems ≤1%; dark red brown color; hand-picked, insect-free.",300 MT/mois,SGS / Bureau Veritas; NEPC exporter license RE 0044122; CAC RC 9571925; ICC Nigeria member,Lagos Port,,FOB / CFR / CIF ,50–70% advance depending on the product,,,20 MT (20ft FCL),25 / 50 kg woven PP or jute bags,
African Organics FZE ,Producer,,Emirats Arabe Uni,,africanorganics@proton.me,971542767568,https://africanorganicsfze.com/contact-us/,,,"Specializes in supplying organic products. Specializes in organic soybeans, organic soybean meal, and organic crude soybean oil.",,,,,,,,,,,,,,,
AGRIGOLD ,Supplier,"1258 Rue 161 Gbonvié, 300 m du Bd. Eyadéma le long des rails derrière le Garage Central, 14 BP 79 Lomé, Togo",Togo,Lomé,commercial@agrigold.tg, +228 70 52 37 54,https://agrigold.tg/fournisseur-de-matieres-premieres-agricoles/,,,"Supplier of quality agricultural raw materials such as soybeans, corn, cashew nuts, shea kernels, sesame seeds, rice bran, palm nuts to support the supply of your agri-food processing industry",,,,,,,,,,,,,,,
AGRO TRADING GROUP,Supplier,,Togo,Lomé,, (+228) 22 61 77 34 (+228) 91 89 42 43,https://atgtogo.com/fr/contactez-nous/,Robert Gogo,Sales Director,"Supplier of Non-GMO Soybeans, Organic Soybeans, Icumsa 45 Sugar, Parboiled Rice",Oilseeds / Legumes,Organic soybeans,Togo,Glycine max; moisture ≤10%; oil 17–20%; protein 38–42%; purity ≥98%; light yellow to golden color; tests according to ASTA/AOAC/BAM/Bergwerff.,,Declared organic product; USDA NOP and EEC 834/2007; Non-GMO guarantees; BNN pesticide requirements; non-irradiated.,,,FOB,,,,,New 50 kg PP bags or full bulk liners; 21-22 MT in a 20ft container; other options possible.,
AGRO TRADING GROUP,Supplier,,Togo,Lomé,, (+228) 22 61 77 34 (+228) 91 89 42 43,https://atgtogo.com/fr/contactez-nous/,Robert Gogo,Sales Director,"Supplier of Non-GMO Soybeans, Organic Soybeans, Icumsa 45 Sugar, Parboiled Rice",Oilseeds / Legumes,Non-GMO soybeans,Togo,Glycine max; moisture ≤10%; oil 17–20%; protein 38–42%; purity ≥98%; foreign matter ≤1%; light yellow to golden color; tests according to ASTA/AOAC/BAM/Bergwerff.,,Declared Non-GMO; compliance in particular with regulation 1829/2003; non-irradiated; destination country requirements to be met.,,,FOB,,,,,New 50 kg PP bags or full bulk liners; 21-22 MT in a 20ft container; other options possible.,
